service_code,rate_zone_code,from_weight_grams,to_weight_grams,price_minor,additional_step_grams,additional_price_minor,source_sheet,source_cell
DOMESTIC_SAVER,22,50001,55001,20325700,,,Domestic saver,K75
DOMESTIC_SAVER,21,50001,55001,20697700,,,Domestic saver,L75
DOMESTIC_SAVER,20,50001,55001,37790500,,,Domestic saver,M75
DOMESTIC_SAVER,23,55001,60001,19972300,,,Domestic saver,J76
DOMESTIC_SAVER,22,55001,60001,22048900,,,Domestic saver,K76
DOMESTIC_SAVER,21,55001,60001,22401400,,,Domestic saver,L76
DOMESTIC_SAVER,20,55001,60001,41005600,,,Domestic saver,M76
DOMESTIC_SAVER,23,60001,65001,21600700,,,Domestic saver,J77
DOMESTIC_SAVER,22,60001,65001,23770700,,,Domestic saver,K77
DOMESTIC_SAVER,21,60001,65001,24107800,,,Domestic saver,L77
DOMESTIC_SAVER,20,60001,65001,44221400,,,Domestic saver,M77
DOMESTIC_SAVER,23,65001,70001,23229900,,,Domestic saver,J78
DOMESTIC_SAVER,22,65001,70001,25496700,,,Domestic saver,K78
DOMESTIC_SAVER,21,65001,70001,25810900,,,Domestic saver,L78
DOMESTIC_SAVER,20,65001,70001,47439400,,,Domestic saver,M78
DOMESTIC_SAVER,23,70001,,23229900,1000,331800,Domestic saver,J81/J80
DOMESTIC_SAVER,22,70001,,25496700,1000,364200,Domestic saver,K81/K80
DOMESTIC_SAVER,21,70001,,25810900,1000,368700,Domestic saver,L81/L80
DOMESTIC_SAVER,20,70001,,47439400,1000,677700,Domestic saver,M81/M80
DEMO_EXPRESS,23,0,501,313110,,,Domestic Standard,J27
DEMO_EXPRESS,22,0,501,990810,,,Domestic Standard,K27
DEMO_EXPRESS,21,0,501,1378170,,,Domestic Standard,L27
DEMO_EXPRESS,20,0,501,1879650,,,Domestic Standard,M27
DEMO_EXPRESS,23,501,1001,453870,,,Domestic Standard,J28
DEMO_EXPRESS,22,501,1001,1134360,,,Domestic Standard,K28
DEMO_EXPRESS,21,501,1001,1586340,,,Domestic Standard,L28
DEMO_EXPRESS,20,501,1001,2236320,,,Domestic Standard,M28
