source_row_id,state_code,city_name,normalized_city_name,centre_area,rate_zone_code,surcharge_code,surcharge_type,surcharge_amount_minor
1188,AN,NNOKWA,NNOKWA,ONITSHA,21,524,E,500000
1189,AN,NRI,NRI,ONITSHA,21,524,E,500000
1190,AN,NSUGBE,NSUGBE,ONITSHA,21,524,E,500000
1282,AN,NTEJE,NTEJE,ONITSHA,21,629,R,700000
1283,AN,NZAM,NZAM,ONITSHA,21,629,R,700000
1191,AN,OBA,OBA,ONITSHA,21,524,E,500000
1284,AN,OBA-OFEMILI,OBAOFEMILI,ONITSHA,21,629,R,700000
1285,AN,OBEAGU ORJI,OBEAGUORJI,ONITSHA,21,629,R,700000
1286,AN,OBELEDU,OBELEDU,ONITSHA,21,629,R,700000
1287,AN,OBU-AGU-ORJI,OBUAGUORJI,ONITSHA,21,629,R,700000
1288,AN,ODEKPE,ODEKPE,ONITSHA,21,629,R,700000
1289,AN,OFEMILI UGBENE,OFEMILIUGBENE,ONITSHA,21,629,R,700000
1290,AN,OFUFE ZIXTON,OFUFEZIXTON,ONITSHA,21,629,R,700000
1291,AN,OGBEOLU,OGBEOLU,ONITSHA,21,629,R,700000
